timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761482258454,4328,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4105,text,false,,2599,0,8267,12507,http://localhost/get,0,0,0
1761482261601,1181,PATCH Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-144,text,false,,2065,0,8267,12507,http://localhost/patch,0,0,0
1761482262181,600,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-9149,text,false,,2599,0,8261,12501,http://localhost/get,0,0,0
1761482258644,4137,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5439,text,false,,2599,0,8261,12501,http://localhost/get,0,0,143
1761482258640,4140,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4618,text,false,,2599,0,8258,12498,http://localhost/get,0,0,0
1761482262180,591,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8561,text,false,,2599,0,8214,12454,http://localhost/get,0,0,1
1761482262181,590,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8817,text,false,,2599,0,8215,12455,http://localhost/get,0,0,0
1761482262179,593,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8743,text,false,,2599,0,8226,12466,http://localhost/get,0,0,0
1761482262183,589,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8745,text,false,,2599,0,8226,12466,http://localhost/get,0,0,0
1761482262180,593,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8767,text,false,,2599,0,8226,12466,http://localhost/get,0,0,0
1761482258825,3955,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4598,text,false,,2599,0,8258,12498,http://localhost/get,0,0,0
1761482263457,76,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5149,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
1761482261035,1743,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-61,text,false,,2065,0,8249,12489,http://localhost/delete,0,0,0
1761482263424,108,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7221,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
1761482261023,1755,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-59,text,false,,2065,0,8249,12489,http://localhost/delete,0,0,0
1761482262177,1291,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8784,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
1761482261028,1750,DELETE Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-64,text,false,,2065,0,8249,12489,http://localhost/delete,0,0,0
1761482261583,1194,POST Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-230,text,false,,2065,0,8248,12488,http://localhost/post,0,0,0
1761482262188,1276,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8030,text,false,,2599,0,9081,13336,http://localhost/get,0,0,0
